Plant,State,District,Climate_Season,Agri_Season,Month,Year,Soil_Type,Rainfall_Level,Festival,Expected_Yield_kg_per_acre,Growth_Score,Image_Class,Demand_Level,Price_Index,Supply_Level,Is_Perishable,Reason_for_Demand
Banana,Lakshadweep,Lakshadweep,Winter,Rabi,December,2012,Alluvial,Low,Wedding Season,3248,55,3,9,8,5,1,Banana fruits and leaves used in rituals and feasts
Millet,Assam,Assam,Spring,Rabi,March,2023,Alluvial,Medium,Ugadi,1583,59,3,7,4,8,0,Traditional consumption and cultural preference during this period
Sesame,Assam,Assam,Autumn,Kharif,October,2019,Saline/Alkaline,Medium,Dussehra,1148,66,4,6,8,7,0,Traditional consumption and cultural preference during this period
Marigold,Nagaland,Nagaland,Spring,Rabi,March,2013,Laterite,Medium,Holi,5186,52,3,10,9,5,1,Traditional consumption and cultural preference during this period
Cotton,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Autumn,Kharif,October,2022,Arid & Desert,High,Navratri,714,76,4,4,6,6,0,Used for diya wicks and traditional textiles
Cotton,Haryana,Haryana,Spring,Rabi,March,2019,Alluvial,Medium,Holi,989,29,2,5,5,4,0,Traditional consumption and cultural preference during this period
Wheat,Puducherry,Puducherry,Autumn,Kharif,October,2024,Black,Medium,Dussehra,3289,60,3,5,5,5,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Mayiladuthurai,Summer,Kharif,April,2022,Alluvial,High,Vishu,1442,81,5,7,8,6,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Nilgiris,Winter,Rabi,January,2011,Red,Medium,Lohri,2700,32,2,7,5,8,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Tirunelveli,Spring,Rabi,March,2021,Red,High,Holi,1743,59,3,6,5,4,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Cuddalore,Spring,Rabi,March,2019,Laterite,High,Holi,1269,52,3,3,4,5,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Thoothukudi,Winter,Rabi,January,2021,Red,High,Lohri,4886,36,2,6,3,8,1,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Kallakurichi,Winter,Rabi,January,2015,Black,High,Makar Sankranti,5080,46,3,8,6,4,1,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Tiruvallur,Winter,Rabi,January,2011,Red,Medium,Lohri,40129,30,2,7,6,6,0,Harvest festival rituals use sugarcane heavily
Millet,Tamil Nadu,Madurai,Autumn,Kharif,October,2012,Alluvial,High,Navratri,1685,66,4,6,4,4,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Cuddalore,Summer,Kharif,April,2013,Red,Medium,Ugadi,3562,82,5,3,3,4,0,Staple grain used widely in festive meals and offerings
Turmeric,Tamil Nadu,Kallakurichi,Winter,Rabi,December,2020,Red,Medium,Christmas,2810,59,3,7,6,4,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Ramanathapuram,Summer,Kharif,June,2012,Black,High,Rath Yatra,5118,55,3,3,1,8,1,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Madurai,Summer,Kharif,April,2021,Red,Medium,Vishu,1309,65,4,3,4,6,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Mayiladuthurai,Winter,Rabi,January,2017,Laterite,High,Makar Sankranti,4785,53,3,9,6,8,1,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Chengalpattu,Winter,Rabi,January,2017,Red,High,Makar Sankranti,2270,47,3,9,7,8,1,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Tiruppur,Summer,Kharif,April,2016,Red,High,Ugadi,3115,70,4,6,7,8,1,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Chengalpattu,Spring,Rabi,March,2017,Black,Medium,Ram Navami,2576,60,3,3,4,8,1,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Dharmapuri,Summer,Kharif,April,2020,Alluvial,High,Vishu,3562,86,5,5,3,7,0,Staple grain used widely in festive meals and offerings
Groundnut,Tamil Nadu,Chennai,Winter,Rabi,December,2014,Red,High,Christmas,958,50,3,3,1,7,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Tiruchirappalli,Summer,Kharif,April,2017,Alluvial,High,Vishu,3162,35,2,5,3,8,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Tiruvallur,Autumn,Kharif,October,2012,Laterite,Medium,Diwali,3293,51,3,4,4,7,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Karur,Winter,Rabi,January,2023,Black,High,Lohri,3876,51,3,6,4,4,0,Staple grain used widely in festive meals and offerings
Banana,Tamil Nadu,Pudukkottai,Summer,Kharif,April,2019,Laterite,Medium,Ugadi,2826,59,3,6,5,5,1,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Kancheepuram,Autumn,Kharif,October,2024,Black,Medium,Dussehra,4871,70,4,7,9,5,1,High floral demand for garlands and decorations
Rice,Tamil Nadu,Tenkasi,Summer,Kharif,April,2021,Black,High,Vishu,3943,94,5,6,5,5,0,Staple grain used widely in festive meals and offerings
Sesame,Tamil Nadu,Madurai,Winter,Rabi,November,2023,Red,High,Diwali,1111,44,3,3,1,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Tiruppur,Summer,Kharif,May,2022,Red,Medium,Wedding Season,3041,71,4,10,10,6,0,Turmeric used in auspicious rituals and ceremonies
Jasmine,Tamil Nadu,Viluppuram,Spring,Rabi,March,2021,Red,Medium,Ram Navami,2526,30,2,6,7,6,1,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Salem,Winter,Rabi,January,2020,Red,High,Lohri,764,44,3,5,6,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Namakkal,Spring,Rabi,March,2018,Red,High,Holi,2933,43,3,10,8,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Tiruchirappalli,Summer,Kharif,April,2016,Alluvial,Medium,Ram Navami,2639,60,3,3,4,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Chengalpattu,Autumn,Kharif,October,2010,Black,Medium,Diwali,2956,69,4,10,10,7,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Sivaganga,Winter,Rabi,January,2016,Red,High,Lohri,2711,42,3,5,7,5,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Salem,Autumn,Kharif,October,2019,Laterite,High,Navratri,2741,68,4,8,5,8,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Chengalpattu,Winter,Rabi,January,2021,Black,High,Makar Sankranti,3016,32,2,9,10,6,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Thoothukudi,Winter,Rabi,December,2017,Alluvial,Medium,Christmas,3154,82,5,7,8,4,0,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Thoothukudi,Summer,Kharif,April,2010,Laterite,High,Ugadi,3045,67,4,4,2,4,1,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Virudhunagar,Spring,Rabi,March,2016,Red,High,Holi,2677,34,2,9,10,4,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Viluppuram,Spring,Rabi,March,2014,Alluvial,High,Holi,797,47,3,3,1,8,0,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Cuddalore,Winter,Rabi,January,2019,Red,High,Lohri,776,40,2,7,5,6,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Vellore,Summer,Kharif,April,2012,Red,Medium,Vishu,1189,63,4,7,8,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Nilgiris,Winter,Rabi,January,2011,Red,High,Lohri,2986,53,3,5,6,6,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Nagapattinam,Autumn,Kharif,October,2012,Black,Medium,Navratri,2980,59,3,9,7,5,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Kancheepuram,Winter,Rabi,February,2013,Laterite,Medium,Wedding Season,1110,34,2,3,1,6,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Tiruchirappalli,Winter,Rabi,February,2015,Black,High,Wedding Season,4941,48,3,10,10,4,1,High floral demand for garlands and decorations
Cotton,Tamil Nadu,Nilgiris,Summer,Kharif,April,2017,Laterite,High,Vishu,568,84,5,3,3,5,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Chennai,Summer,Kharif,April,2017,Black,High,Vishu,1652,55,3,3,5,4,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Tiruvarur,Winter,Rabi,January,2015,Laterite,High,Pongal,1252,41,3,5,6,5,0,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Erode,Summer,Kharif,April,2010,Red,High,Vishu,1066,58,3,6,8,4,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Ariyalur,Summer,Kharif,April,2018,Red,High,Ram Navami,2720,65,4,6,8,6,1,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Kallakurichi,Winter,Rabi,February,2014,Red,Medium,Wedding Season,730,29,2,5,4,8,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Sivaganga,Summer,Kharif,April,2020,Red,High,Vishu,936,83,5,5,4,8,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Chennai,Winter,Rabi,December,2024,Laterite,Medium,Christmas,784,51,3,5,3,7,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Tiruvallur,Autumn,Kharif,October,2015,Alluvial,High,Navratri,2257,78,4,9,9,8,1,High floral demand for garlands and decorations
Rice,Tamil Nadu,Theni,Autumn,Kharif,October,2010,Alluvial,High,Dussehra,3926,75,4,5,2,8,0,Staple grain used widely in festive meals and offerings
Wheat,Tamil Nadu,Virudhunagar,Autumn,Kharif,October,2023,Red,Medium,Navratri,3168,50,3,6,4,7,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Tirupathur,Spring,Rabi,March,2011,Red,Medium,Wedding Season,743,47,3,5,4,8,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Tiruvannamalai,Spring,Rabi,March,2023,Laterite,High,Holi,3594,61,4,10,10,8,0,Staple grain used widely in festive meals and offerings
Banana,Tamil Nadu,Vellore,Spring,Rabi,March,2022,Black,High,Ugadi,2914,35,2,5,4,4,1,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Ramanathapuram,Summer,Kharif,April,2023,Red,High,Ram Navami,1446,83,5,7,6,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Tiruppur,Winter,Rabi,January,2016,Alluvial,Medium,Lohri,3043,40,2,4,3,7,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Sivaganga,Spring,Rabi,March,2014,Laterite,High,Holi,2987,86,5,6,5,8,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Tiruvarur,Summer,Kharif,April,2019,Alluvial,High,Ugadi,3038,33,2,5,3,8,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Theni,Summer,Kharif,April,2011,Red,High,Ram Navami,1620,69,4,5,2,8,0,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Tiruvannamalai,Winter,Rabi,January,2015,Alluvial,High,Lohri,1019,52,3,7,7,8,0,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Viluppuram,Autumn,Kharif,July,2015,Red,High,Rath Yatra,3188,61,4,6,4,5,1,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Dindigul,Autumn,Kharif,October,2016,Black,High,Dussehra,4968,86,5,5,6,8,1,High floral demand for garlands and decorations
Rice,Tamil Nadu,Tenkasi,Summer,Kharif,April,2013,Laterite,Medium,Ram Navami,3344,53,3,3,3,6,0,Staple grain used widely in festive meals and offerings
Wheat,Tamil Nadu,Namakkal,Winter,Rabi,January,2018,Black,High,Makar Sankranti,3239,81,5,3,5,4,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Dharmapuri,Winter,Rabi,January,2013,Alluvial,High,Lohri,2279,26,2,4,2,7,1,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Tirupathur,Autumn,Kharif,July,2023,Laterite,High,Rath Yatra,40286,69,4,6,5,5,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Karur,Autumn,Kharif,October,2011,Alluvial,High,Diwali,1212,81,5,7,9,4,0,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Vellore,Winter,Rabi,November,2024,Alluvial,High,Wedding Season,951,35,2,5,4,6,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Tirunelveli,Winter,Rabi,January,2022,Alluvial,High,Lohri,3555,56,3,6,6,4,0,Staple grain used widely in festive meals and offerings
Sugarcane,Tamil Nadu,Cuddalore,Summer,Kharif,April,2020,Black,High,Ugadi,40079,78,4,3,1,6,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Karur,Autumn,Kharif,October,2022,Laterite,Medium,Dussehra,4947,69,4,7,5,6,1,High floral demand for garlands and decorations
Banana,Tamil Nadu,Tiruppur,Autumn,Kharif,October,2021,Alluvial,High,Navratri,3076,81,5,8,6,4,1,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Kallakurichi,Winter,Rabi,January,2014,Red,High,Makar Sankranti,2576,48,3,8,8,4,1,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Coimbatore,Spring,Rabi,March,2011,Black,High,Ugadi,758,50,3,5,3,4,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Ariyalur,Autumn,Kharif,October,2015,Alluvial,Medium,Navratri,2683,63,4,9,8,4,1,High floral demand for garlands and decorations
Turmeric,Tamil Nadu,Tiruvarur,Spring,Rabi,March,2016,Laterite,High,Ugadi,2562,50,3,6,6,7,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Perambalur,Winter,Rabi,December,2017,Red,High,Christmas,2753,32,2,3,4,4,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Cuddalore,Summer,Kharif,April,2017,Red,High,Vishu,4989,58,3,3,1,7,1,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Perambalur,Autumn,Kharif,October,2018,Red,High,Navratri,587,74,4,7,8,5,0,Used for diya wicks and traditional textiles
Turmeric,Tamil Nadu,Theni,Winter,Rabi,January,2023,Alluvial,High,Lohri,2574,58,3,5,5,8,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Dharmapuri,Autumn,Kharif,October,2015,Alluvial,High,Dussehra,4991,54,3,4,3,8,1,High floral demand for garlands and decorations
Groundnut,Tamil Nadu,Tiruvarur,Spring,Rabi,March,2012,Red,High,Holi,1406,35,2,7,7,5,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Tiruvallur,Winter,Rabi,January,2010,Red,High,Makar Sankranti,1282,38,2,7,6,6,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Tiruvallur,Winter,Rabi,December,2021,Black,High,Christmas,1381,58,3,6,4,5,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Tirupathur,Summer,Kharif,April,2012,Black,High,Ugadi,3191,51,3,6,7,6,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Thanjavur,Winter,Rabi,January,2022,Black,High,Makar Sankranti,1011,44,3,6,5,8,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Dindigul,Winter,Rabi,January,2016,Red,High,Lohri,1432,28,2,7,6,7,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Vellore,Winter,Rabi,January,2013,Red,Medium,Pongal,1401,58,3,5,7,4,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Dindigul,Winter,Rabi,January,2016,Alluvial,Medium,Lohri,1157,29,2,4,3,4,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Salem,Winter,Rabi,January,2014,Red,High,Lohri,659,40,2,5,3,7,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Dindigul,Winter,Rabi,January,2020,Black,High,Makar Sankranti,5188,54,3,9,10,6,1,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Coimbatore,Winter,Rabi,November,2012,Red,High,Wedding Season,5136,39,2,8,7,5,1,High floral demand for garlands and decorations
Banana,Tamil Nadu,Chennai,Autumn,Kharif,October,2023,Alluvial,Medium,Dussehra,3226,76,4,6,5,8,1,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Mayiladuthurai,Autumn,Kharif,July,2019,Black,High,Rath Yatra,40381,87,5,7,8,4,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Erode,Autumn,Kharif,July,2020,Laterite,High,Rath Yatra,2904,86,5,4,4,5,0,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Nilgiris,Spring,Rabi,March,2012,Red,Medium,Holi,826,61,4,5,6,8,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Madurai,Winter,Rabi,January,2023,Alluvial,High,Pongal,2691,48,3,8,9,8,0,Turmeric used in auspicious rituals and ceremonies
Groundnut,Tamil Nadu,Krishnagiri,Winter,Rabi,January,2018,Red,High,Lohri,1182,43,3,5,7,7,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Tiruvannamalai,Winter,Rabi,January,2024,Red,High,Pongal,2574,54,3,9,7,6,0,Turmeric used in auspicious rituals and ceremonies
Groundnut,Tamil Nadu,Tirupathur,Summer,Kharif,June,2022,Red,High,Rath Yatra,1376,89,5,4,2,7,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Virudhunagar,Winter,Rabi,February,2023,Laterite,High,Wedding Season,844,37,2,3,2,6,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Ariyalur,Winter,Rabi,January,2014,Red,High,Pongal,4815,43,3,9,8,6,1,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Vellore,Winter,Rabi,January,2023,Red,High,Lohri,3126,86,5,4,5,8,0,Traditional consumption and cultural preference during this period
Sesame,Tamil Nadu,Chengalpattu,Autumn,Kharif,October,2019,Laterite,High,Navratri,913,84,5,6,8,4,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Ariyalur,Summer,Kharif,April,2011,Black,High,Vishu,553,89,5,4,5,7,0,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Tiruppur,Autumn,Kharif,October,2019,Red,High,Navratri,2935,67,4,9,7,6,1,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Chennai,Winter,Rabi,January,2016,Black,High,Pongal,2717,54,3,9,7,8,1,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Mayiladuthurai,Autumn,Kharif,October,2021,Red,High,Dussehra,1237,51,3,5,6,4,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Kallakurichi,Winter,Rabi,December,2014,Alluvial,High,Christmas,2575,58,3,7,6,7,1,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Chennai,Winter,Rabi,January,2016,Black,High,Pongal,4998,48,3,10,10,5,1,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Krishnagiri,Autumn,Kharif,July,2015,Red,High,Rath Yatra,4853,68,4,5,6,7,1,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Tiruchirappalli,Winter,Rabi,January,2010,Red,High,Pongal,2934,47,3,10,10,7,1,Banana fruits and leaves used in rituals and feasts
Sesame,Tamil Nadu,Cuddalore,Autumn,Kharif,October,2010,Red,High,Dussehra,805,79,4,6,5,6,0,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Mayiladuthurai,Autumn,Kharif,October,2012,Laterite,High,Navratri,3120,68,4,10,9,4,1,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Thoothukudi,Spring,Rabi,March,2016,Red,High,Holi,886,42,3,5,4,7,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Viluppuram,Autumn,Kharif,October,2023,Black,High,Navratri,1737,65,4,3,1,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Pudukkottai,Autumn,Kharif,October,2014,Red,High,Dussehra,40084,74,4,4,2,8,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Ariyalur,Winter,Rabi,January,2022,Red,High,Lohri,5151,58,3,4,4,7,1,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Krishnagiri,Spring,Rabi,March,2015,Red,Medium,Holi,1122,55,3,4,5,7,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Tirupathur,Winter,Rabi,November,2015,Red,High,Diwali,2399,34,2,8,9,5,1,High floral demand for garlands and decorations
Wheat,Tamil Nadu,Theni,Summer,Kharif,June,2011,Alluvial,High,Rath Yatra,3091,49,3,7,8,7,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Cuddalore,Autumn,Kharif,October,2013,Red,High,Diwali,2826,86,5,9,10,5,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Viluppuram,Winter,Rabi,November,2019,Alluvial,High,Diwali,3853,61,4,10,10,4,0,Staple grain used widely in festive meals and offerings
Sugarcane,Tamil Nadu,Vellore,Spring,Rabi,March,2016,Laterite,High,Ugadi,40200,60,3,3,1,4,0,Traditional consumption and cultural preference during this period
Cotton,Tamil Nadu,Tiruvarur,Summer,Kharif,April,2017,Red,High,Ugadi,862,76,4,4,2,8,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Ariyalur,Summer,Kharif,April,2021,Alluvial,Medium,Ram Navami,2408,62,4,5,6,5,1,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Kallakurichi,Autumn,Kharif,October,2013,Red,High,Dussehra,1441,64,4,3,1,7,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Ramanathapuram,Winter,Rabi,December,2023,Red,High,Christmas,2877,54,3,4,5,5,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Karur,Winter,Rabi,January,2019,Black,High,Makar Sankranti,5192,47,3,10,10,5,1,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Viluppuram,Spring,Rabi,March,2013,Red,High,Ugadi,3796,63,4,5,3,6,0,Staple grain used widely in festive meals and offerings
Turmeric,Tamil Nadu,Dharmapuri,Winter,Rabi,January,2018,Alluvial,High,Lohri,2772,36,2,4,3,5,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Cuddalore,Winter,Rabi,December,2010,Laterite,Medium,Christmas,1304,51,3,4,3,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Coimbatore,Summer,Kharif,April,2012,Red,High,Ram Navami,40270,64,4,4,2,6,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Chengalpattu,Autumn,Kharif,October,2012,Laterite,High,Navratri,1393,79,4,7,8,6,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Pudukkottai,Winter,Rabi,December,2010,Red,High,Christmas,2643,29,2,7,6,4,1,Traditional consumption and cultural preference during this period
Banana,Tamil Nadu,Tirupathur,Winter,Rabi,January,2017,Laterite,Medium,Pongal,3125,41,3,10,10,4,1,Banana fruits and leaves used in rituals and feasts
Banana,Tamil Nadu,Virudhunagar,Winter,Rabi,January,2024,Red,High,Pongal,3172,31,2,9,7,6,1,Banana fruits and leaves used in rituals and feasts
Groundnut,Tamil Nadu,Vellore,Summer,Kharif,April,2014,Black,Medium,Vishu,1305,60,3,7,7,7,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Tiruvannamalai,Autumn,Kharif,October,2021,Black,High,Diwali,1427,55,3,3,3,4,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Tiruchirappalli,Summer,Kharif,April,2011,Red,Medium,Vishu,3276,47,3,3,2,5,0,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Madurai,Summer,Kharif,April,2022,Laterite,Medium,Vishu,1336,68,4,3,1,6,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Tiruchirappalli,Autumn,Kharif,October,2017,Red,High,Navratri,4921,74,4,10,8,6,1,High floral demand for garlands and decorations
Rice,Tamil Nadu,Tiruppur,Winter,Rabi,January,2023,Red,High,Makar Sankranti,3765,67,4,10,9,4,0,Staple grain used widely in festive meals and offerings
Jasmine,Tamil Nadu,Tenkasi,Winter,Rabi,November,2024,Red,High,Wedding Season,2591,30,2,9,8,4,1,High floral demand for garlands and decorations
Millet,Tamil Nadu,Erode,Winter,Rabi,December,2021,Alluvial,High,Wedding Season,1659,49,3,3,3,6,0,Traditional consumption and cultural preference during this period
Marigold,Tamil Nadu,Vellore,Autumn,Kharif,October,2015,Red,Medium,Navratri,5091,81,5,8,6,8,1,High floral demand for garlands and decorations
Turmeric,Tamil Nadu,Ariyalur,Winter,Rabi,January,2010,Red,High,Makar Sankranti,2958,52,3,8,8,5,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Thoothukudi,Summer,Kharif,April,2015,Black,Medium,Wedding Season,3330,77,4,9,7,6,0,Staple grain used widely in festive meals and offerings
Sugarcane,Tamil Nadu,Namakkal,Spring,Rabi,March,2018,Red,High,Holi,40079,42,3,8,8,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Karur,Autumn,Kharif,July,2020,Alluvial,High,Rath Yatra,40296,84,5,3,1,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Tamil Nadu,Erode,Winter,Rabi,January,2016,Alluvial,Medium,Makar Sankranti,40094,38,2,9,10,5,0,Harvest festival rituals use sugarcane heavily
Cotton,Tamil Nadu,Mayiladuthurai,Winter,Rabi,January,2012,Red,Medium,Makar Sankranti,1193,57,3,6,8,5,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Nagapattinam,Spring,Rabi,March,2010,Laterite,High,Holi,2648,35,2,8,9,7,0,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Viluppuram,Autumn,Kharif,October,2012,Red,High,Navratri,3169,33,2,3,2,7,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Krishnagiri,Autumn,Kharif,October,2014,Alluvial,High,Navratri,2721,53,3,8,9,5,1,High floral demand for garlands and decorations
Wheat,Tamil Nadu,Viluppuram,Winter,Rabi,January,2018,Alluvial,High,Lohri,3013,71,4,3,5,6,0,Traditional consumption and cultural preference during this period
Turmeric,Tamil Nadu,Nagapattinam,Winter,Rabi,December,2022,Alluvial,High,Christmas,2866,35,2,3,1,8,0,Traditional consumption and cultural preference during this period
Rice,Tamil Nadu,Erode,Spring,Rabi,March,2014,Alluvial,High,Ugadi,3707,61,4,7,6,5,0,Staple grain used widely in festive meals and offerings
Banana,Tamil Nadu,Salem,Winter,Rabi,January,2022,Black,Medium,Lohri,2789,34,2,7,9,6,1,Traditional consumption and cultural preference during this period
Groundnut,Tamil Nadu,Erode,Autumn,Kharif,October,2014,Laterite,High,Dussehra,1057,58,3,7,5,7,0,Traditional consumption and cultural preference during this period
Jasmine,Tamil Nadu,Viluppuram,Summer,Kharif,April,2012,Alluvial,Medium,Ram Navami,2722,74,4,5,3,5,1,Traditional consumption and cultural preference during this period
Wheat,Tamil Nadu,Dharmapuri,Summer,Kharif,April,2010,Alluvial,Medium,Vishu,2961,44,3,6,6,5,0,Traditional consumption and cultural preference during this period
Millet,Tamil Nadu,Kancheepuram,Spring,Rabi,March,2010,Red,High,Wedding Season,1717,40,2,7,8,8,0,Traditional consumption and cultural preference during this period
